no,kou,japanese,english
42,第6講,大きなスーパーが近所に建設中なので，もうすぐ手ごろな値段で買い物ができるようになります。,"A large supermarket is being built near my house, so soon we'll be able to buy things at reasonable prices."
43,第6講,昨日の台風で，この地区のたくさんの建物が壊されてしまった。,"Due to the typhoon yesterday, a lot of buildings in this neighborhood have been destroyed."
44,第6講,実家を離れてから年になります。,It has been five years since I left home.
45,第6講,彼が駅に着いたとき，ちょうど終電が出るところだった。,The last train was about to leave when he arrived at the station.
46,第6講,ひどい風邪をひいた時は，たいてい健康管理を十分にしていなかったせいである。,"When you have caught a bad cold, it is usually because you haven't been taking enough care of yourself."
47,第6講,彼が医者にかかったとき，すでに発病してひと月も経っていた。,He had been sick for a month when he finally consulted a doctor.
48,第6講,彼が元気になるまでには，，週間かかるでしょう。,It will be two or three weeks before he gets better.
49,第6講,あなたが戻るまでには，彼はあなたの車を直してしまっているでしょう。,He will have repaired your car by the time you get back.
50,第6講,先月，年ぶりに故郷に帰った。,Last month I went back to my hometown for the first time in ten years.
51,第7講,人は高齢になるにつれて，頑固になる。,"As you grow older, you become more obstinate."
52,第7講,肉はすぐ悪くなるから，できるだけ早く食べてね。,"Meat goes bad quickly, so eat it as soon as possible."
53,第7講,彼は歳になる前に，親元を離れて東京に引っ越した。,He left home and moved to Tokyo before he turned twenty.
54,第7講,ものすごく大きな圧力をかけると，炭素はダイヤモンドになる。,"Under enormous pressure, carbon turns into diamond."
55,第7講,はじめ彼女は彼のことが好きではなかったが，一緒に仕事をしているうちに，二人はお互いを愛するようになった。,"At first she didn't like him, but while they were working together, they came to love each other."
56,第7講,最近，日本の国立大学は，外国人を教授に雇うようになってきた。,Recently Japanese national universities have begun to hire foreigners as professors.
57,第7講,たった日の練習で，パソコンが使えるようになったの？,Did you learn to use a personal computer after only two days' practice?
58,第7講,そんなにがんばって働き続けたら，病気になってしまうよ。,You'll probably end up getting sick if you go on working so hard.
59,第7講,この状況では，私たちは危険を冒して徹夜で車を走らせないといけないことになる。,This situation means that we'll have to run a risk and drive all night long.
60,第7講,金持ちになったからといって，幸せになれるということにはならない。,"Just because you become rich, it doesn't mean follow that you can be happy."
61,第9講,関東地方は明日は雨でしょう。,Tomorrow there will be rain in the Kanto district.
62,第9講,我が社には，コンピュータを仕事で使っている人がたくさんいる。,"In our company, there are lots of people who use computers in their jobs."
63,第9講,「私の絵の描き方には，何も変わったところはありません」と画家は言った。,"The painter said, ""There is nothing unusual about the way I paint pictures."""
64,第9講,それをやってみることに意味があるなんて，本当に思うの？,Do you really think there's any point in giving it a try?
65,第9講,地球温暖化をどう阻止するかに関しては，解決されるべき問題がまだたくさんある。,Many problems remain to be solved as to how to stop global warming.
66,第9講,アメリカ合衆国では，土曜と日曜には学校がない。,There is no school on Saturdays and Sundays in the United States.
67,第9講,もう一つお話ししたいことがあるのですが。,I have another thing to talk to you about.
68,第9講,札幌は日本の北部にあります。,Sapporo lies in the north of Japan.
69,第9講,毎年この時期になると，全国各地でこうしたお祭りがあります。,"At this time of the year, festivals like this are held in many parts of the country."
70,第9講,スマホがさらに発達することによって，コミュニケーションの仕方に今後大きな変化が起こるだろう。,"Because of the further developments in the smartphone, there are likely to be great changes in the way we communicate."
71,第10講,結婚して子どもを持つかどうかを決めるのは，一人一人の問題である。,It is up to each individual to decide whether or not to marry and have children.
72,第10講,話をするととても気持ちのいい人だから，君が新しい上司と仲良くやっていくのは難しいことじゃないよ。,"You'll find it easy to get along with your new boss, since he is very pleasant to talk to."
73,第10講,駅前でギターを弾きながら歌を歌うのが，兄の一番の楽しみなのです。,Singing songs while playing the guitar in front of the station is my brother's greatest pleasure.
74,第10講,彼女のことで一番感心するのは，彼女がとても知的だということです。,What strikes me most about her is that she is quite intellectual.
75,第10講,きれいになりさえすれば，誰がその部屋の掃除をするかは問題ではない。,"It doesn't matter who cleans the room, just as long as it gets cleaned."
76,第10講,その試験に受かるかどうかは，君がどれだけ一生懸命に勉強するかにかかっている。,Whether you can pass the exam or not depends on how hard you study.
77,第10講,うちの息子で困るのは，どうしても私の言うことに耳を貸そうとしないことだ。,The trouble with my son is that he won't listen to me.
78,第10講,彼を怒らせるようなことは，何一つ言わないように気をつけた。,I was careful not to say anything that would make him angry.
79,第10講,空から白いものが降ってくるのが見えたが，それは季節外れの雪だった。,I saw something white falling from the sky — it was unseasonable snow.
80,第10講,多くの動物は，人間が気がつかないさまざまなものを感知することができる。,Many animals can sense things which human beings are not aware of.
81,第11講,今度は必ず妹さんを連れてきてね。,Be sure to bring your sister next time.
82,第11講,彼はつまらない間違いをしがちだ。,He is apt to make silly mistakes.
83,第11講,彼女は困っている人をいつも親切に助けてあげる。,She is always kind enough to help people in trouble.
84,第11講,彼はその結果に満足しているようだ。,He seems to be satisfied with the result.
85,第11講,多くの興奮した観衆が選手に物を投げつけ始めるのを見て，ほんとうに気が滅入った。,It was really depressing to see a lot of excited spectators begin to throw things at the players.
86,第11講,悪い習慣は，身につけるのは簡単だが，直すのは難しい。,Bad habits are easy to acquire but difficult to get rid of.
87,第11講,そこへはバスを使うのが便利ですよ。,It would be convenient for you to take the bus there.
88,第11講,旅行を延期したのは賢明だったね。,It was sensible of you to put off the trip.
89,第11講,全員が事実をすべて知らされることが重要だ。,It is important that everybody be should be told all the facts.
90,第11講,彼女の手紙に彼が腹を立てたのも，当然のことだ。,It is hardly surprising that he was offended by her letter.
91,第13講,その女優は見かけほど若くはない。,The actress is not as young as she looks.
92,第13講,困ったことに，彼は昔ほど一生懸命に働いていない。,The trouble is that he doesn't work *as hard as he used to.
93,第13講,試験は思ったほど難しくなかったのでほっとした。,"To my relief, the exam was not *as hard as I (had) expected."
94,第13講,エベレストは世界で最も高い山だ。,Mt. Everest is the highest mountain in the world.
95,第13講,時間は最も貴重なものである。,Time is the most precious of all.
96,第13講,イギリスの天気は世界で最も変わりやすい。,The weather in Britain is the most changeable in the world.
97,第13講,私は自分の部屋で音楽を聴いているときが一番幸せを感じる。,I feel happiest when I am listening to music in my room.
98,第13講,こんな寒い冬は初めてだ。,This is the coldest winter we have ever had.
99,第13講,高等教育の重要性が今日ほど大きくなったことはなかった。,Never before has higher education been as important as it is today.
100,第13講,あなたと初めて会った日のことを，今でもまるで昨日のことのようにはっきりと覚えています。,I still remember the day when I first met you as clearly as if it were yesterday.
101,第14講,中国の人口は日本の約10倍である。,The population of China is about ten times as large as that of Japan.
102,第14講,今日の世界の人口は年前の倍である。,The population of the world today is twice as large as it was years ago.
103,第14講,地下鉄を利用すればバスの分のの時間でそこに行けます。,"By subway, you can get there in a third as much time as by bus."
104,第14講,日本人は自分の意見をできるだけ遠回しに伝える傾向がある。,The Japanese tend to express their opinions as indirectly as they can.
105,第14講,若いうちにできるだけ多くの本を読みなさい。,Read as many books as you can while you are young.
106,第14講,祖父は年をとればとるほど，頑固になった。,"The older my grandfather grew, the more obstinate he got."
107,第14講,最近タバコをやめる人がますます増えている。,Nowadays more and more people are giving up smoking.
108,第14講,この冬は例年よりはるかに雪が多かった。,This winter it snowed much more than usual.
109,第14講,学生がうるさかったので，先生はいっそう大声で話さなければならなかった。,The teacher had to speak all the louder because the students were noisy.
110,第14講,"彼は冊を超える本を持っているが，僕はそんなには持っていない。","He has more than 1000 books, but I don't have as many."
